Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Metabolic,Extens,ComputCostly,IndexInvar,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,Type,PubYr,Auth,Title,PubTitle,DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,MACCS,MACCS keys,,,,Structural,Computational,Ligand,One,One,Ligand,One,Vector,Global,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,1990,"Christie, Bradley D.; Henry, Douglas R.; Wipke, W. Todd; Moock, Thomas E.",Database structure and searching in MACCS-3D,Tetrahedron Computer Methodology,10.1016/0898-5529(90)90164-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,DeepSnap,3D perspective shots around spherical shell at fixed angular interval theta,,,,Structural,Computational,Molecule,One,Multiple,Molecule,One,Image,Both,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,,,0,,,,,,,8-64+,,,,,,,,journalArticle,2020,"Matsuzaka, Yasunari; Uesawa, Yoshihiro",DeepSnap-Deep Learning Approach Predicts Progesterone Receptor Antagonist Activity With High Performance,,10.3389/fbioe.2019.00485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,GlobalRama,Global Ramachandran score,,,,Structural,Computational,Protein,One,Multiple,Protein,One,Continuous,Global,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Sobolev, Oleg V.; Afonine, Pavel V.; Moriarty, Nigel W.; Hekkelman, Maarten L.; Joosten, Robbie P.; Perrakis, Anastassis; Adams, Paul D.",A Global Ramachandran Score Identifies Protein Structures with Unlikely Stereochemistry,Structure,10.1016/j.str.2020.08.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Vox,Voxelization,,,,Structural,Computational,Molecule,One,Multiple,Molecule,One,Grid,Both,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,,,0,,,,,,,1,,,,,,May be useful for representing a trajectory?,,journalArticle,2021,"Nazem, Fatemeh; Ghasemi, Fahimeh; Fassihi, Afshin; Dehnavi, Alireza Mehri",3D U-Net: A voxel-based method in binding site prediction of protein structure,Journal of Bioinformatics and Computational Biology,10.1142/S0219720021500062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SmoothVox,Smoothed voxelization,,,,Structural,Computational,Molecule,One,Multiple,Molecule,One,Grid,Both,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,,,0,,,,,,,,,,,,,,,journalArticle,2018,"Kuzminykh, Denis; Polykovskiy, Daniil; Kadurin, Artur; Zhebrak, Alexander; Baskov, Ivan; Nikolenko, Sergey; Shayakhmetov, Rim; Zhavoronkov, Alex",3D Molecular Representations Based on the Wave Transform for Convolutional Neural Networks,Molecular Pharmaceutics,10.1021/acs.molpharmaceut.7b01134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,DihAng,Dihedral angle representation,,,,Structural,Computational,Protein,One,One,Amino acid,Multiple,Angle,Local,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,0,,,,,,,1,,,,,,,,journalArticle,2015,"Scherer, Martin K.; Trendelkamp-Schroer, Benjamin; Paul, Fabian; Pérez-Hernández, Guillermo; Hoffmann, Moritz; Plattner, Nuria; Wehmeyer, Christoph; Prinz, Jan Hendrik; Noé, Frank","PyEMMA 2: A Software Package for Estimation, Validation, and Analysis of Markov Models",Journal of Chemical Theory and Computation,10.1021/acs.jctc.5b00743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,ESPB,Element-specific persistence barcode,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Barcode,Both,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,EIMS,Element-interactive manifolds statistics,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Vector,Both,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,EICS,Element-interactive curvatures statistics,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Vector,Both,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,EI,Element-interactivity. The subselection by elements and subsequent comparison between resulting atom distributions,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Structure,Both,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
