Key,Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Optical,Metabolic,Extens,ComputCostly,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,,Type,PubYr,Auth,Title,PubTitle,,,DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feature,MACCS,MACCS keys,,,,Structural,Computational,Ligand,One,One,Ligand,One,Vector,Global,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,journalArticle,1990,"Christie, Bradley D.; Henry, Douglas R.; Wipke, W. Todd; Moock, Thomas E.",Database structure and searching in MACCS-3D,Tetrahedron Computer Methodology,,,10.1016/0898-5529(90)90164-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,F_tens,Tensile strength,,,,Nonstructural,Experiment,Protein,Sample,Sample,Protein,Sample,Scalar,Global,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,1,,,,,,,,257F3BB5,journalArticle,2022,"Bäcklund, Fredrik G.; Schmuck, Benjamin; Miranda, Gisele HB; Greco, Gabriele; Pugno, Nicola M.; Rydén, Jesper; Rising, Anna",An image-analysis-based method for the prediction of recombinant protein fiber tensile strength,Materials,,,,,,2022,2023-01-21 22:28:52,2023-01-21 22:28:52,,708,,3,15,,,,,,,,,,,,,,,Google Scholar,,Publisher: MDPI,,/home/northja/Zotero/storage/PHGRK3LD/htm.html; /home/northja/Zotero/storage/D4GWMTF6/708.html
257F3BB5,Feature,Elasticity,Material elasticity,,,,Nonstructural,Experiment,Protein,Sample,Sample,Protein,Sample,Scalar,Global,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,MolecAlign,Molecular alignment,,,,Structural,Experiment,Protein,Symmetry group,Symmetry group,Protein,Symmetry group,Tensor,Both,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,InternOrg,Internal organization of fibers,,,,Structural,Experiment,Protein,Symmetry group,Symmetry group,Protein,Symmetry group,Tensor,Both,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,Morph,Morphology or shape,,,,Structural,Experiment,Protein,Symmetry group,Symmetry group,Protein,Symmetry group,Tensor,Both,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,StressStrainCurve,Stress vs strain curve,,,,Nonstructural,Experiment,Molecule,Sample,Population,Protein,Sample,Graph,Global,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,SuperStrucAlign,Alignment of protein domains in a polymer,,,,Structural,Both,Protein,Symmetry group,Sample,Protein,Symmetry group,Tensor,Both,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257F3BB5,Feature,Birefringence,Birefringence,,,,Nonstructural,Experiment,Protein,Sample,Sample,Protein,Sample,Scalar,Global,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6N94MS7W,Feature,WordEmbedding,Word embeddings from NLP,,,,Nonstructural,Computational,Sequence,One,Population,Residue,Several,Vector,Both,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,6N94MS7W,journalArticle,2022,"Tahzeeb, Shahab; Hasan, Shehzad",A Neural Network-Based Multi-Label Classifier for Protein Function Prediction,"Engineering, Technology & Applied Science Research",,,,,,2022,2023-01-21 22:28:52,2023-01-21 22:28:52,,7974–7981,,1,12,,,,,,,,,,,,,,,Google Scholar,,,,/home/northja/Zotero/storage/YDX5J5UU/Tahzeeb and Hasan - 2022 - A Neural Network-Based Multi-Label Classifier for .pdf; /home/northja/Zotero/storage/P8PIMSGG/4597.html
